UnicodeBlock,Code,Glyph,Decimal,Description
Latin Basic,U+0020,,32,Space
Latin Basic,U+0021,!,33,Exclamation mark
Latin Basic,U+0022,"""",34,Quotation mark
Latin Basic,U+0023,#,35,"Number sign, Hashtag, Octothorpe, Sharp"
Latin Basic,U+0024,$,36,Dollar sign
Latin Basic,U+0025,%,37,Percent sign
Latin Basic,U+0026,&,38,Ampersand
Latin Basic,U+0027,',39,Apostrophe
Latin Basic,U+0028,(,40,Left parenthesis
Latin Basic,U+0029,),41,Right parenthesis
Latin Basic,U+002A,*,42,Asterisk
Latin Basic,U+002B,+,43,Plus sign
Latin Basic,U+002C,",",44,Comma
Latin Basic,U+002D,-,45,Hyphen-minus
Latin Basic,U+002E,.,46,Full stop
Latin Basic,U+002F,/,47,Slash (Solidus)
Latin Basic,U+0030,0,48,Digit Zero
Latin Basic,U+0031,1,49,Digit One
Latin Basic,U+0032,2,50,Digit Two
Latin Basic,U+0033,3,51,Digit Three
Latin Basic,U+0034,4,52,Digit Four
Latin Basic,U+0035,5,53,Digit Five
Latin Basic,U+0036,6,54,Digit Six
Latin Basic,U+0037,7,55,Digit Seven
Latin Basic,U+0038,8,56,Digit Eight
Latin Basic,U+0039,9,57,Digit Nine
Latin Basic,U+003A,:,58,Colon
Latin Basic,U+003B,;,59,Semicolon
Latin Basic,U+003C,<,60,Less-than sign
Latin Basic,U+003D,=,61,Equal sign
Latin Basic,U+003E,>,62,Greater-than sign
Latin Basic,U+003F,?,63,Question mark
Latin Basic,U+0040,@,64,At sign
Latin Basic,U+0041,A,65,Latin Capital letter A
Latin Basic,U+0042,B,66,Latin Capital letter B
Latin Basic,U+0043,C,67,Latin Capital letter C
Latin Basic,U+0044,D,68,Latin Capital letter D
Latin Basic,U+0045,E,69,Latin Capital letter E
Latin Basic,U+0046,F,70,Latin Capital letter F
Latin Basic,U+0047,G,71,Latin Capital letter G
Latin Basic,U+0048,H,72,Latin Capital letter H
Latin Basic,U+0049,I,73,Latin Capital letter I
Latin Basic,U+004A,J,74,Latin Capital letter J
Latin Basic,U+004B,K,75,Latin Capital letter K
Latin Basic,U+004C,L,76,Latin Capital letter L
Latin Basic,U+004D,M,77,Latin Capital letter M
Latin Basic,U+004E,N,78,Latin Capital letter N
Latin Basic,U+004F,O,79,Latin Capital letter O
Latin Basic,U+0050,P,80,Latin Capital letter P
Latin Basic,U+0051,Q,81,Latin Capital letter Q
Latin Basic,U+0052,R,82,Latin Capital letter R
Latin Basic,U+0053,S,83,Latin Capital letter S
Latin Basic,U+0054,T,84,Latin Capital letter T
Latin Basic,U+0055,U,85,Latin Capital letter U
Latin Basic,U+0056,V,86,Latin Capital letter V
Latin Basic,U+0057,W,87,Latin Capital letter W
Latin Basic,U+0058,X,88,Latin Capital letter X
Latin Basic,U+0059,Y,89,Latin Capital letter Y
Latin Basic,U+005A,Z,90,Latin Capital letter Z
Latin Basic,U+005B,[,91,Left Square Bracket
Latin Basic,U+005C,\,92,Backslash
Latin Basic,U+005D,],93,Right Square Bracket
Latin Basic,U+005E,^,94,Circumflex accent
Latin Basic,U+005F,_,95,Low line
Latin Basic,U+0060,`,96,Grave accent
Latin Basic,U+0061,a,97,Latin Small Letter A
Latin Basic,U+0062,b,98,Latin Small Letter B
Latin Basic,U+0063,c,99,Latin Small Letter C
Latin Basic,U+0064,d,100,Latin Small Letter D
Latin Basic,U+0065,e,101,Latin Small Letter E
Latin Basic,U+0066,f,102,Latin Small Letter F
Latin Basic,U+0067,g,103,Latin Small Letter G
Latin Basic,U+0068,h,104,Latin Small Letter H
Latin Basic,U+0069,i,105,Latin Small Letter I
Latin Basic,U+006A,j,106,Latin Small Letter J
Latin Basic,U+006B,k,107,Latin Small Letter K
Latin Basic,U+006C,l,108,Latin Small Letter L
Latin Basic,U+006D,m,109,Latin Small Letter M
Latin Basic,U+006E,n,110,Latin Small Letter N
Latin Basic,U+006F,o,111,Latin Small Letter O
Latin Basic,U+0070,p,112,Latin Small Letter P
Latin Basic,U+0071,q,113,Latin Small Letter Q
Latin Basic,U+0072,r,114,Latin Small Letter R
Latin Basic,U+0073,s,115,Latin Small Letter S
Latin Basic,U+0074,t,116,Latin Small Letter T
Latin Basic,U+0075,u,117,Latin Small Letter U
Latin Basic,U+0076,v,118,Latin Small Letter V
Latin Basic,U+0077,w,119,Latin Small Letter W
Latin Basic,U+0078,x,120,Latin Small Letter X
Latin Basic,U+0079,y,121,Latin Small Letter Y
Latin Basic,U+007A,z,122,Latin Small Letter Z
Latin Basic,U+007B,{,123,Left Curly Bracket
Latin Basic,U+007C,|,124,Vertical bar
Latin Basic,U+007D,},125,Right Curly Bracket
Latin Basic,U+007E,~,126,Tilde
Latin-1 Supplement,U+00A0,,160,Non-breaking space
Latin-1 Supplement,U+00A1,¡,161,Inverted Exclamation Mark
Latin-1 Supplement,U+00A2,¢,162,Cent sign
Latin-1 Supplement,U+00A3,£,163,Pound sign
Latin-1 Supplement,U+00A4,¤,164,Currency sign
Latin-1 Supplement,U+00A5,¥,165,Yen sign
Latin-1 Supplement,U+00A6,¦,166,Broken bar
Latin-1 Supplement,U+00A7,§,167,Section sign
Latin-1 Supplement,U+00A8,¨,168,Diaeresis (Umlaut)
Latin-1 Supplement,U+00A9,©,169,Copyright sign
Latin-1 Supplement,U+00AA,ª,170,Feminine Ordinal Indicator
Latin-1 Supplement,U+00AB,«,171,Left-pointing double angle quotation mark
Latin-1 Supplement,U+00AC,¬,172,Not sign
Latin-1 Supplement,U+00AD,,173,Soft hyphen
Latin-1 Supplement,U+00AE,®,174,Registered sign
Latin-1 Supplement,U+00AF,¯,175,macron
Latin-1 Supplement,U+00B0,°,176,Degree symbol
Latin-1 Supplement,U+00B1,±,177,Plus-minus sign
Latin-1 Supplement,U+00B2,²,178,Superscript two
Latin-1 Supplement,U+00B3,³,179,Superscript three
Latin-1 Supplement,U+00B4,´,180,Acute accent
Latin-1 Supplement,U+00B5,µ,181,Micro sign
Latin-1 Supplement,U+00B6,¶,182,Pilcrow sign
Latin-1 Supplement,U+00B7,·,183,Middle dot
Latin-1 Supplement,U+00B8,¸,184,Cedilla
Latin-1 Supplement,U+00B9,¹,185,Superscript one
Latin-1 Supplement,U+00BA,º,186,Masculine ordinal indicator
Latin-1 Supplement,U+00BB,»,187,Right-pointing double angle quotation mark
Latin-1 Supplement,U+00BC,¼,188,Vulgar fraction one quarter
Latin-1 Supplement,U+00BD,½,189,Vulgar fraction one half
Latin-1 Supplement,U+00BE,¾,190,Vulgar fraction three quarters
Latin-1 Supplement,U+00BF,¿,191,Inverted Question Mark
Latin-1 Supplement,U+00C0,À,192,Latin Capital Letter A with grave
Latin-1 Supplement,U+00C1,Á,193,Latin Capital letter A with acute
Latin-1 Supplement,U+00C2,Â,194,Latin Capital letter A with circumflex
Latin-1 Supplement,U+00C3,Ã,195,Latin Capital letter A with tilde
Latin-1 Supplement,U+00C4,Ä,196,Latin Capital letter A with diaeresis
Latin-1 Supplement,U+00C5,Å,197,Latin Capital letter A with ring above
Latin-1 Supplement,U+00C6,Æ,198,Latin Capital letter Æ
Latin-1 Supplement,U+00C7,Ç,199,Latin Capital letter C with cedilla
Latin-1 Supplement,U+00C8,È,200,Latin Capital letter E with grave
Latin-1 Supplement,U+00C9,É,201,Latin Capital letter E with acute
Latin-1 Supplement,U+00CA,Ê,202,Latin Capital letter E with circumflex
Latin-1 Supplement,U+00CB,Ë,203,Latin Capital letter E with diaeresis
Latin-1 Supplement,U+00CC,Ì,204,Latin Capital letter I with grave
Latin-1 Supplement,U+00CD,Í,205,Latin Capital letter I with acute
Latin-1 Supplement,U+00CE,Î,206,Latin Capital letter I with circumflex
Latin-1 Supplement,U+00CF,Ï,207,Latin Capital letter I with diaeresis
Latin-1 Supplement,U+00D0,Ð,208,Latin Capital letter Eth
Latin-1 Supplement,U+00D1,Ñ,209,Latin Capital letter N with tilde
Latin-1 Supplement,U+00D2,Ò,210,Latin Capital letter O with grave
Latin-1 Supplement,U+00D3,Ó,211,Latin Capital letter O with acute
Latin-1 Supplement,U+00D4,Ô,212,Latin Capital letter O with circumflex
Latin-1 Supplement,U+00D5,Õ,213,Latin Capital letter O with tilde
Latin-1 Supplement,U+00D6,Ö,214,Latin Capital letter O with diaeresis
Latin-1 Supplement,U+00D7,×,215,Multiplication sign
Latin-1 Supplement,U+00D8,Ø,216,Latin Capital letter O with stroke
Latin-1 Supplement,U+00D9,Ù,217,Latin Capital letter U with grave
Latin-1 Supplement,U+00DA,Ú,218,Latin Capital letter U with acute
Latin-1 Supplement,U+00DB,Û,219,Latin Capital Letter U with circumflex
Latin-1 Supplement,U+00DC,Ü,220,Latin Capital Letter U with diaeresis
Latin-1 Supplement,U+00DD,Ý,221,Latin Capital Letter Y with acute
Latin-1 Supplement,U+00DE,Þ,222,Latin Capital Letter Thorn
Latin-1 Supplement,U+00DF,ß,223,Latin Small Letter sharp S
Latin-1 Supplement,U+00E0,à,224,Latin Small Letter A with grave
Latin-1 Supplement,U+00E1,á,225,Latin Small Letter A with acute
Latin-1 Supplement,U+00E2,â,226,Latin Small Letter A with circumflex
Latin-1 Supplement,U+00E3,ã,227,Latin Small Letter A with tilde
Latin-1 Supplement,U+00E4,ä,228,Latin Small Letter A with diaeresis
Latin-1 Supplement,U+00E5,å,229,Latin Small Letter A with ring above
Latin-1 Supplement,U+00E6,æ,230,Latin Small Letter Æ
Latin-1 Supplement,U+00E7,ç,231,Latin Small Letter C with cedilla
Latin-1 Supplement,U+00E8,è,232,Latin Small Letter E with grave
Latin-1 Supplement,U+00E9,é,233,Latin Small Letter E with acute
Latin-1 Supplement,U+00EA,ê,234,Latin Small Letter E with circumflex
Latin-1 Supplement,U+00EB,ë,235,Latin Small Letter E with diaeresis
Latin-1 Supplement,U+00EC,ì,236,Latin Small Letter I with grave
Latin-1 Supplement,U+00ED,í,237,Latin Small Letter I with acute
Latin-1 Supplement,U+00EE,î,238,Latin Small Letter I with circumflex
Latin-1 Supplement,U+00EF,ï,239,Latin Small Letter I with diaeresis
Latin-1 Supplement,U+00F0,ð,240,Latin Small Letter Eth
Latin-1 Supplement,U+00F1,ñ,241,Latin Small Letter N with tilde
Latin-1 Supplement,U+00F2,ò,242,Latin Small Letter O with grave
Latin-1 Supplement,U+00F3,ó,243,Latin Small Letter O with acute
Latin-1 Supplement,U+00F4,ô,244,Latin Small Letter O with circumflex
